Algorithm,Sort Order,Array Type,min,First Quartile,median,Third Quartile,max
PassPerItem,ASCENDING,Byte[],1647318,1649210,1652484,1656216,2229525
PassPerItem,ASCENDING,Double[],1986773,1992087,1994772,1998239,2047361
PassPerItem,ASCENDING,Integer[],1575054,1582186,1588134,1597543,1717257
PassPerItem,DESCENDING,Byte[],4455655,4559286,4655049,4815252,5306009
PassPerItem,DESCENDING,Double[],4003699,4152045,4471010,4493210,5158402
PassPerItem,DESCENDING,Integer[],4545608,4805728,4930352,5222052,8482177
PassPerItem,RANDOM,Byte[],3787674,3905427,4117142,4187833,4919921
PassPerItem,RANDOM,Double[],3723616,3843323,3953514,4039130,5431669
PassPerItem,RANDOM,Integer[],5060606,5246166,5323774,5496617,9167660
UntilNoChange,ASCENDING,Byte[],8265,8529,8798,48063,68637
UntilNoChange,ASCENDING,Double[],8781,9015,9264,48210,50068
UntilNoChange,ASCENDING,Integer[],10339,11744,12004,50089,51546
UntilNoChange,DESCENDING,Byte[],5574037,5727825,5876700,6079974,6567923
UntilNoChange,DESCENDING,Double[],3993768,4139908,4456775,4473170,5093703
UntilNoChange,DESCENDING,Integer[],5274935,5449367,5760913,6039607,7955705
UntilNoChange,RANDOM,Byte[],4435269,4686603,4884029,5027984,8536422
UntilNoChange,RANDOM,Double[],3578110,3786814,3889902,3993591,5739265
UntilNoChange,RANDOM,Integer[],5736682,6030333,6132937,6361989,10083631
WhileNeeded,ASCENDING,Byte[],8649,8939,9168,45222,73343
WhileNeeded,ASCENDING,Double[],8865,9206,9460,45649,65182
WhileNeeded,ASCENDING,Integer[],10624,11053,11583,46809,51321
WhileNeeded,DESCENDING,Byte[],3581899,3633240,3739020,3874733,3921335
WhileNeeded,DESCENDING,Double[],2859743,2964850,3192828,3197982,4289678
WhileNeeded,DESCENDING,Integer[],3322491,3450845,3614090,3792167,5551419
WhileNeeded,RANDOM,Byte[],2821201,2964249,3125806,3181490,5081395
WhileNeeded,RANDOM,Double[],2492866,2572703,2628036,2715818,4015989
WhileNeeded,RANDOM,Integer[],3983254,4175367,4223586,4341963,5232706
